Output File                                                           Name                                           Type        FSH File                                                    Lines
CodeSystem-Ethnicity.json                                             NZ_ethnic_group_codes                          CodeSystem  vocabulary/ethnicityFull.fsh                                11 - 286
CodeSystem-acc-patient-occupation-codesystem.json                     AccPatientOccupationCodeSystem                 CodeSystem  vocabulary/acc-patient-ocupation.fsh                        13 - 6932
CodeSystem-alias-type.json                                            AliasType                                      CodeSystem  vocabulary/alias-type.fsh                                   3 - 19
CodeSystem-citizenship-status.json                                    CitizenshipStatus                              CodeSystem  vocabulary/citizenship-status.fsh                           12 - 24
CodeSystem-contact-point-purpose.json                                 ContactPointPurpose                            CodeSystem  vocabulary/contact-point-purpose.fsh                        13 - 29
CodeSystem-coverage-category.json                                     CoverageCategory                               CodeSystem  vocabulary/coverage-category.fsh                            12 - 21
CodeSystem-coverage-type.json                                         CoverageType                                   CodeSystem  vocabulary/coverage-type.fsh                                13 - 25
CodeSystem-datum-code.json                                            DatumCode                                      CodeSystem  extensions/nz-geocode.fsh                                   49 - 61
CodeSystem-dhb-code.json                                              Dhb_code                                       CodeSystem  vocabulary/dhb.fsh                                          13 - 56
CodeSystem-domicile-code.json                                         DomicileCode                                   CodeSystem  vocabulary/domicile-code.fsh                                11 - 2079
CodeSystem-ethnicityL4.json                                           EthnicityL4                                    CodeSystem  vocabulary/ethnicity-l4.fsh                                 13 - 210
CodeSystem-funded-programme.json                                      FundedProgramme                                CodeSystem  vocabulary/funded-programme.fsh                             11 - 24
CodeSystem-hpi-practitionerRole-status-reason.json                    PractitionerRoleStatusReason                   CodeSystem  vocabulary/hpi-practitionerrole-status-reason.fsh           14 - 28
CodeSystem-information-source.json                                    InformationSource                              CodeSystem  vocabulary/information-source.fsh                           29 - 63
CodeSystem-iwi-code.json                                              Iwi_code                                       CodeSystem  vocabulary/iwi-updated.fsh                                  21 - 249
CodeSystem-maori-descent-codesystem.json                              MaoriDescent                                   CodeSystem  vocabulary/maori-descent.fsh                                9 - 29
CodeSystem-nz-residency.json                                          NZResidency                                    CodeSystem  vocabulary/nz-residency-status.fsh                          11 - 22
CodeSystem-pho-status.json                                            PHO                                            CodeSystem  vocabulary/pho.fsh                                          11 - 50
CodeSystem-practitioner-additional-authorisation.json                 AdditionalAuthorisation                        CodeSystem  vocabulary/practitioner-additional-authorisation-code.fsh   13 - 67
CodeSystem-practitioner-registration-status-code.json                 PractitionerRegistrationStatusCode             CodeSystem  vocabulary/practitioner-registration-status-code.fsh        14 - 28
